Sales_Order_ID,Region,Country,SKU,Product_Description,Order_Date,Confirmed_Qty,Shipped_Qty,Backorder_USD,SLOB_Flag,Delivery_Delay_Days,OTIF_Status,Risk_Alert
SO-1000,APAC,BR,SKU-009,Maximize Efficient Bandwidth,2024-01-01,71,39,541.92,No,13,Partial,High Risk
SO-1001,LATAM,DE,SKU-003,Embrace Plug-And-Play Markets,2024-01-02,78,91,266.37,No,-3,Late,Normal
SO-1002,NA,CN,SKU-007,Maximize Magnetic Communities,2024-01-03,85,97,152.4,No,11,On Time,High Risk
SO-1003,APAC,BR,SKU-006,Matrix Compelling Portals,2024-01-04,25,79,1881.06,Yes,-2,Late,High Risk
SO-1004,APAC,DE,SKU-008,Transform Customized Paradigms,2024-01-05,99,22,833.28,Yes,10,Partial,High Risk
SO-1005,LATAM,US,SKU-009,Transform Customized Paradigms,2024-01-06,99,80,1162.33,Yes,4,Partial,High Risk
SO-1006,NA,JP,SKU-005,Maximize Granular Platforms,2024-01-07,57,13,1838.35,No,4,Late,High Risk
SO-1007,NA,JP,SKU-001,Maximize Magnetic Communities,2024-01-08,94,78,165.5,No,3,Late,Normal
SO-1008,APAC,JP,SKU-019,Syndicate Plug-And-Play E-Commerce,2024-01-09,48,62,1753.32,No,2,Late,High Risk
SO-1009,EMEA,BR,SKU-010,Maximize Viral Content,2024-01-10,42,21,1103.18,Yes,2,On Time,High Risk
SO-1010,APAC,US,SKU-012,Visualize Revolutionary Technologies,2024-01-11,32,11,329.67,No,-1,Late,Normal
SO-1011,APAC,BR,SKU-015,Orchestrate Plug-And-Play Methodologies,2024-01-12,19,50,822.51,No,3,Late,Normal
SO-1012,APAC,CN,SKU-009,Visualize Revolutionary Technologies,2024-01-13,78,17,1555.2,No,4,Late,High Risk
SO-1013,APAC,BR,SKU-020,Cultivate Mission-Critical Web-Readiness,2024-01-14,43,44,960.74,Yes,6,Partial,High Risk
SO-1014,LATAM,US,SKU-017,Maximize Efficient Bandwidth,2024-01-15,61,46,1970.57,No,11,Partial,High Risk
SO-1015,NA,US,SKU-017,Maximize Magnetic Communities,2024-01-16,19,13,753.48,Yes,11,On Time,High Risk
SO-1016,LATAM,CN,SKU-020,Incubate Robust Action-Items,2024-01-17,28,54,1499.16,No,-3,On Time,High Risk
SO-1017,LATAM,US,SKU-012,Repurpose 24/7 Convergence,2024-01-18,67,31,785.98,No,3,Partial,Normal
SO-1018,LATAM,US,SKU-007,Redefine Out-Of-The-Box Networks,2024-01-19,10,70,1658.33,Yes,0,Partial,High Risk
SO-1019,APAC,JP,SKU-002,Redefine Out-Of-The-Box Networks,2024-01-20,78,9,1138.16,No,2,Partial,High Risk
SO-1020,EMEA,CN,SKU-003,Embrace Plug-And-Play Markets,2024-01-21,13,33,127.02,No,-3,Late,Normal
SO-1021,NA,IN,SKU-017,Matrix Compelling Portals,2024-01-22,25,41,73.64,No,1,Late,Normal
SO-1022,EMEA,IN,SKU-005,Transform Customized Paradigms,2024-01-23,33,42,267.7,No,-3,Partial,Normal
SO-1023,LATAM,US,SKU-017,Repurpose 24/7 Convergence,2024-01-24,89,87,27.34,No,0,Late,Normal
SO-1024,LATAM,IN,SKU-017,Enable Interactive Deliverables,2024-01-25,11,12,150.72,No,-2,Late,Normal
SO-1025,EMEA,IN,SKU-017,Cultivate Mission-Critical Web-Readiness,2024-01-26,41,69,1383.43,No,6,On Time,High Risk
SO-1026,EMEA,US,SKU-002,Redefine Out-Of-The-Box Networks,2024-01-27,93,90,1068.69,No,1,Partial,High Risk
SO-1027,EMEA,IN,SKU-002,Matrix Compelling Portals,2024-01-28,33,21,1499.82,No,6,Partial,High Risk
SO-1028,LATAM,BR,SKU-005,Repurpose 24/7 Convergence,2024-01-29,21,75,1826.33,No,-3,Late,High Risk
SO-1029,LATAM,DE,SKU-001,Visualize Revolutionary Technologies,2024-01-30,59,93,1170.3,No,2,Partial,High Risk
SO-1030,NA,CN,SKU-001,Empower End-To-End Technologies,2024-01-31,44,49,1452.24,No,9,On Time,High Risk
SO-1031,NA,DE,SKU-019,Visualize Revolutionary Technologies,2024-02-01,42,8,1514.16,No,11,On Time,High Risk
SO-1032,LATAM,US,SKU-002,Repurpose 24/7 Convergence,2024-02-02,42,40,755.7,No,0,On Time,Normal
SO-1033,EMEA,JP,SKU-012,Synergize 24/7 Solutions,2024-02-03,70,74,482.17,No,9,Partial,Normal
SO-1034,EMEA,CN,SKU-006,Redefine Back-End Convergence,2024-02-04,60,35,410.09,No,11,Partial,High Risk
SO-1035,NA,US,SKU-004,Repurpose 24/7 Convergence,2024-02-05,52,23,502.88,No,4,Partial,Normal
SO-1036,LATAM,JP,SKU-011,Syndicate Plug-And-Play E-Commerce,2024-02-06,21,65,549.46,No,1,Partial,Normal
SO-1037,NA,DE,SKU-017,Matrix Compelling Portals,2024-02-07,76,58,414.46,No,11,Partial,High Risk
SO-1038,NA,US,SKU-006,Synergize 24/7 Solutions,2024-02-08,74,43,1756.44,No,0,On Time,High Risk
SO-1039,APAC,CN,SKU-005,Orchestrate Plug-And-Play Methodologies,2024-02-09,42,95,1514.0,Yes,8,Late,High Risk
SO-1040,APAC,CN,SKU-020,Maximize Viral Content,2024-02-10,49,78,93.79,No,9,On Time,Normal
SO-1041,APAC,UK,SKU-002,Redefine Back-End Convergence,2024-02-11,83,94,537.34,No,-2,Partial,Normal
SO-1042,EMEA,BR,SKU-006,Maximize Viral Content,2024-02-12,52,23,44.37,No,0,On Time,Normal
SO-1043,LATAM,IN,SKU-011,Redefine Out-Of-The-Box Networks,2024-02-13,53,43,996.33,No,0,Partial,Normal
SO-1044,LATAM,JP,SKU-016,Syndicate Plug-And-Play E-Commerce,2024-02-14,38,71,952.42,Yes,7,Partial,High Risk
SO-1045,LATAM,UK,SKU-016,Visualize Revolutionary Technologies,2024-02-15,22,49,1662.74,No,1,On Time,High Risk
SO-1046,LATAM,IN,SKU-001,Enable Interactive Deliverables,2024-02-16,21,17,615.55,Yes,7,Partial,High Risk
SO-1047,APAC,IN,SKU-009,Maximize Turn-Key E-Business,2024-02-17,55,96,1632.77,No,6,Late,High Risk
